date,chapo,dough,lpotl,msw,naddp,seccap,tcb,tco,tesd,tmg
2015-09-22,,,5,,,,,,,
2015-09-23,,,7,,,,,,,
2015-09-24,,,7,,,,,,,
2015-09-25,,,7,,,,,,,
2015-09-26,,,7,,,,,,,
2015-09-27,,,7,,,,,,,
2015-09-28,,,7,,,,,,,
2015-09-29,,,8,,,,,,,
2015-09-30,,,8,,,,,,,
2015-10-01,,,9,,,,,,,
2015-10-02,,,11,,,,,,,
2015-10-03,,,11,,,,,,,
2015-10-04,,,11,,,,,,,
2015-10-05,,,12,,,,,,,
2015-10-06,,,12,,,,,,,
2015-10-07,,,12,,,,,,,
2015-10-08,,,12,,,,,,,
2015-10-09,,,12,,,,,,,
2015-10-10,,,12,,,,,,,
2015-10-11,,,12,,,,,,,
2015-10-12,,,12,,,,,,,
2015-10-13,,,12,,,,,,,
2015-10-14,,,12,,,,,,,
2015-10-15,,,12,,,,,,,
2015-10-16,,,12,,,,,,,
2015-10-17,,,12,,,,,,,
2015-10-18,,,12,,,,,,,
2015-10-19,,,13,,,,,,,
2015-10-20,,,13,,,,,,,
2015-10-21,,,13,,,,,,,
2015-10-22,,,13,,,,,,,
2015-10-23,,,13,,,,,,,
2015-10-24,,,13,,,,,,,
2015-10-25,,,13,,,,,,,
2015-10-26,,,13,,,,,,,
2015-10-27,,,13,,,,,,,
2015-10-28,,,13,,,,,,,
2015-10-29,,,13,,,,,,,
2015-10-30,,,13,,,,,,,
2015-10-31,,,13,,,,,,,
2015-11-01,,,13,,,,,,,
2015-11-02,,,13,,,,,,,
2015-11-03,,,13,,,,,,,
2015-11-04,,,13,,,,,,,
2015-11-05,,,13,,,,,,,
2015-11-06,,,13,,,,,,,
2015-11-07,,,13,,,,,,,
2015-11-08,,,12,,,,,,,
2015-11-09,,,12,,,,,,,
2015-11-10,,,12,,,,,,,
2015-11-11,,,12,,,,,,,
2015-11-12,,,12,,,,,,,
2015-11-13,,,12,,,,,,,
2015-11-14,,,12,,,,,,,
2015-11-15,,,12,,,,,,,
2015-11-16,,,12,,,,,,,
2015-11-17,,,12,,,,,,,
2015-11-18,,,12,,,,,,,
2015-11-19,,,12,,,,,,,
2015-11-20,,,12,,,,,,,
2015-11-21,,,12,,,,,,,
2015-11-22,,,12,,,,,,,
2015-11-23,,,13,,,,,,,
2015-11-24,,,15,,,,,,,
2015-11-25,,,16,,,,,,,
2015-11-26,,,19,,,,,,,
2015-11-27,,,19,,,,,,,
2015-11-28,,,20,,,,,,,
2015-11-29,,,22,,,,,,,
2015-11-30,,,23,,,,,,,
2015-12-01,,,24,,,,,,,
2015-12-02,,,25,,,,,,,
2015-12-03,,,26,,,,,,,
2015-12-04,,,28,,,,,,,
2015-12-05,,,28,,,,,,,
2015-12-06,,,30,,,,,,,
2015-12-07,,,30,,,,,,,
2015-12-08,,,31,,,,,,,
2015-12-09,,,32,,,,,,,
2015-12-10,,,34,,,,,,,
2015-12-11,,,35,,,,,,,
2015-12-12,,,36,,,,,,,
2015-12-13,,,42,,,,,,,
2015-12-14,,,42,,,,,,,
2015-12-15,,,42,,,,,,,
2015-12-16,,,42,,,,,,,
2015-12-17,,,42,,,,,,,
2015-12-18,,,43,,,,,,,
2015-12-19,,,43,,,,,,,
2015-12-20,,,124,,,,,,,
2015-12-21,,,225,,,,,,,
2015-12-22,,,270,,,,,,,
2015-12-23,,,305,,,,,,,
2015-12-24,,,324,,,,,,,
2015-12-25,,,333,,,,,,,
2015-12-26,,,336,,,,,,,
2015-12-27,,,341,,,,,,,
2015-12-28,,,349,,,,,,,
2015-12-29,,,352,,,,,,,
2015-12-30,,,365,,,,,,,
2015-12-31,,,380,,,,,,,
2016-01-01,,,397,,,,,,,
2016-01-02,,,397,,,,,,,
2016-01-03,,,405,,,,,,,
2016-01-04,,,420,,,,,,,
2016-01-05,,,437,,,,,,,
2016-01-06,,,444,,,,,,,
2016-01-07,,,477,,,,,,,
2016-01-08,,,494,,,,,,,
2016-01-09,,,502,,,,,,,
2016-01-10,,,507,,,,,,,
2016-01-11,,,515,,,,,,,
2016-01-12,,,521,,,,,,,
2016-01-13,,,534,,,,,,,
2016-01-14,,,541,,,,,,,
2016-01-15,,,553,,,,,,,
2016-01-16,,,560,,,,,,,
2016-01-17,,,568,,,,,,,
2016-01-18,,,582,,,,,,,
2016-01-19,,,593,,,,,,,
2016-01-20,,,602,,,,,,,
2016-01-21,,,608,,,,,,,
2016-01-22,,,616,,,,,,,
2016-01-23,,,627,,,,,,,
2016-01-24,,,631,,,,,,,
2016-01-25,,,633,,,,,,,
2016-01-26,,,635,,,,,,,
2016-01-27,,,645,,,,,,,
2016-01-28,,,651,,,,,,,
2016-01-29,,,654,,,,,,,
2016-01-30,,,657,,,,,,,
2016-01-31,,,658,,,,,,,
2016-02-01,,,658,,,,,,,
2016-02-02,,,626,,,,,,,
2016-02-03,,,632,,,,,,,
2016-02-04,,,640,,,,,,,
2016-02-05,,,652,,,,,,,
2016-02-06,,,657,,,,,,,
2016-02-07,,,665,,,,,,,
2016-02-08,,,675,,,,,,,
2016-02-09,,,679,,,,,,,
2016-02-10,,,688,,,,,,,
2016-02-11,,,698,,,,,,,
2016-02-12,,,706,,,,,,,
2016-02-13,,,715,,,,,,,
2016-02-14,,,719,,,,,,,
2016-02-15,,,723,,,,,,,
2016-02-16,,,728,,,,,,,
2016-02-17,,,732,,,,,,,
2016-02-18,,,734,,,,,,,
2016-02-19,,,737,,,,,,,
2016-02-20,,,741,,,,,,,
2016-02-21,,,743,,,,,,,
2016-02-22,,,746,,,,,,,
2016-02-23,,,748,,,,,,,
2016-02-24,,,750,,,,,,,
2016-02-25,,,753,,,,,,,
2016-02-26,,,756,,,,,,,
2016-02-27,,,761,,,,,,,
2016-02-28,,,765,,,,,,,
2016-02-29,,,767,,,,,,,
2016-03-01,,,731,,,,,,,
2016-03-02,,,738,,,,,,,
2016-03-03,,,744,,,,,,,
2016-03-04,,,752,,,,,,,
2016-03-05,,,751,,,,,,,
2016-03-06,,,754,,,,,,,
2016-03-07,,,754,,,,,,,
2016-03-08,,,758,,,,,,,
2016-03-09,,,759,,,,,,,
2016-03-10,,,768,,,,,,,
2016-03-11,,,772,,,,,,,
2016-03-12,,,775,,,,,,,
2016-03-13,,,775,,,,,,,
2016-03-14,,,778,,,,,,,
2016-03-15,,,783,,,,,,,
2016-03-16,,,787,,,,,,,
2016-03-17,,,791,,,,,,,
2016-03-18,,,795,,,,,,,
2016-03-19,,,797,,,,,,,
2016-03-20,,,799,,,,,,,
2016-03-21,,,803,,,,,,,
2016-03-22,,,804,,,,,,,
2016-03-23,,,806,,,,,,,
2016-03-24,,,815,,,,,,,
2016-03-25,,,815,,,,,,,
2016-03-26,,,819,,,,,,,
2016-03-27,,,823,,,,,,,
2016-03-28,,,824,,,,,,,
2016-03-29,,,829,,,,,,,
2016-03-30,,,831,,,,,,,
2016-03-31,,,830,,,,,,,
2016-04-01,,,783,,,,,,,
2016-04-02,,,795,,,,,,,
2016-04-03,,,800,,,,,,,
2016-04-04,,,802,,,,,,,
2016-04-05,,,809,,,,,,,
2016-04-06,,,816,,,,,,,
2016-04-07,,,825,,,,,,,
2016-04-08,,,829,,,,,,,
2016-04-09,,,830,,,,,,,
2016-04-10,,,836,,,,,,,
2016-04-11,,,836,,,,,,,
2016-04-12,,,837,,,,,,,
2016-04-13,,,843,,,,,,,
2016-04-14,,,849,,,,,,,
2016-04-15,,,851,,,,,,,
2016-04-16,,,858,,,,,,,
2016-04-17,,,860,,,,,,,
